0.0,0.0,0.0
207.7,-133.5,231.5
214.4,-136.7,238.3
210.8,-131.8,233.9
213.9,-132.6,236.9
219.4,-134.8,242.4
217.9,-132.6,240.6
220.5,-132.8,243.0
221.7,-132.3,244.0
218.9,-129.2,240.8
217.8,-127.3,239.4
224.9,-130.2,246.7
235.0,-134.7,257.0
231.1,-131.0,252.7
232.0,-130.1,253.5
232.8,-129.1,254.1
233.4,-128.0,254.6
230.8,-125.1,251.7
238.5,-127.9,259.7
246.6,-130.7,267.9
242.5,-127.0,263.6
247.4,-128.0,268.6
246.8,-126.1,267.8
243.5,-122.8,264.3
245.6,-122.4,266.5
253.3,-124.7,274.5
257.6,-125.2,278.9
259.5,-124.4,280.8
253.2,-119.7,274.3
256.9,-119.8,278.1
259.5,-119.3,280.8
262.8,-119.2,284.3
264.3,-118.1,285.9
267.6,-117.9,289.5
273.9,-118.9,296.1
266.2,-113.8,288.1
270.6,-113.9,292.8
265.2,-109.8,287.3
274.4,-111.9,297.0
274.8,-110.2,297.6
281.3,-111.1,304.5
280.0,-108.7,303.3
286.7,-109.4,310.5
286.1,-107.3,310.0
295.5,-108.9,320.1
291.8,-105.6,316.4
286.3,-101.6,310.7
303.6,-105.9,329.1
307.1,-105.1,333.0
303.4,-101.8,329.4
309.5,-101.8,336.0
309.9,-99.9,336.6
313.3,-98.9,340.4
316.2,-97.8,343.6
312.4,-94.5,339.9
323.4,-95.8,351.7
332.9,-96.4,361.9
329.5,-93.2,358.5
330.5,-91.4,359.9
332.4,-89.7,362.1
338.9,-89.3,369.2
336.4,-86.4,366.7
345.0,-86.4,376.2
346.5,-84.5,377.9
355.7,-84.4,387.9
357.8,-82.5,390.3
351.6,-78.8,383.9
366.7,-79.8,400.3
362.1,-76.4,395.6
368.7,-75.4,402.7
371.9,-73.7,406.4
370.2,-70.9,404.7
383.8,-71.1,419.5
392.1,-70.0,428.5
381.3,-65.6,417.2
373.6,-61.8,409.1
405.9,-64.6,443.7
407.5,-62.2,445.6
418.0,-61.1,457.1
416.7,-58.2,455.8
426.1,-56.8,466.1
416.2,-52.7,455.6
431.8,-52.0,472.4
449.5,-51.2,491.5
431.1,-46.3,471.9
446.8,-45.1,488.9
449.7,-42.5,492.0
451.3,-39.7,493.9
452.7,-36.9,495.5
470.5,-35.3,514.7
484.1,-33.2,529.4
469.2,-29.1,513.5
